ref,int_ref,title,url,address,latitude,longitude,prd01_location,prd01_price,prd02_location,prd02_price,prd03_location,prd03_price,prd04_location,prd04_price,prd05_location,prd05_price,prd06_location,prd06_price,prd07_location,prd07_price,prd08_location,prd08_price,prd09_location,prd09_price,prd10_location,prd10_price,prd11_location,prd11_price
ref1000,130712,Alpha Villa Apts.,alpha-villa-apartments,"12, Jalan 2/27a, Wangsa Maju, 53300 Kuala Lumpur, Malaysia",3.202279,101.73542,Master Bedroom & Guest Room,2600,Master Bathroom,560,,,,,,,,,,,,,,,,,,
ref1001,151116,Casa Indah 2,tropicana-casa-indah,"Tropicana Indah, 47410 Petaling Jaya, Selangor, Malaysia",3.149029,101.588461,Master Bedroom Window,3300,,,,,,,,,,,,,,,,,,,,
ref1002,190117,Indah Alam,indah-alam,"Jalan Jubli Perak 22/1, Seksyen 22, 40150 Shah Alam, Selangor, Malaysia",3.070099,101.555042,Master Bedroom,3100,Bedroom 1,3100,,,,,,,,,,,,,,,,,,
ref1003,130712,Emerald Perdana,emerald-perdana,"6, Jalan PJU 8/3a, Damansara Perdana, 47820 Petaling Jaya",3.164571,101.609224,Master Bedroom,3700,,,,,,,,,,,,,,,,,,,,
ref1004,140516,Villa Vista,villa-vista,"25, Jalan Teruntung, Bukit Damansara, 50490 Kuala Lumpur,",3.156791,101.662877,Master Bedroom,4100,Room 1-Door,4100,Room 1-Window,1300,Room 2,4100,Living,10700,,,,,,,,,,,,
ref1005,171016,Changkat,changkat-condominium,"18, Jalan Dutamas Raya, Taman Segambut Sppk, 51200 Kuala Lumpur",3.179908,101.65913,Master Bedroom,3300,,,,,,,,,,,,,,,,,,,,
ref1006,120315,One KL / KLCC,one-kl_klcc,"Jalan Pinang, Kuala Lumpur City Centre, 50088 Kuala Lumpur",3.156508,101.710575,Master Bedroom,5800,Bedroom 1,4000,Kids Room,2300,,,,,,,,,,,,,,,,
ref1007,20816,Avenue D’Vogue,avenue-dvogue,"3A, Jalan 13/2, Seksyen 13, 46200 Petaling Jaya",3.17438,101.658019,Master Bedroom,2500,,,,,,,,,,****,,,,,,,,,,
ref1008,10816,La Grande Kiara,la-grande-kiara,"Jalan Duta Kiara, Mont Kiara, 50480 Kuala Lumpur",3.174352,101.658696,Master Bedroom 1-3,4800,Master Bedroom 4,4200,Master Bathroom,1500,,,,,,,,,,,,,,,,
ref1009,50616,Dua Residency,dua-residency,"Jalan Tun Razak, Kuala Lumpur, 50450 Kuala Lumpur",3.154757,101.721735,Master Bedroom,17000,,,,,,,,,,,,,,,,,,,,
ref1010,300414,Tijani 2 North,tijani-2-north,"6, Jalan Lembah Tunku, Taman Tunku, 50480 Kuala Lumpur",3.171996,101.682328,Kitchen,3600,Main Entrance,700,Family Area,9900,Family area,7025,New Balcony,13100,Family Area,12000,,,,,,,,,,
ref1011,270615-1,Publika,publika-condominium,"Solaris Dutamas, 1, Jalan Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur",3.170974,101.665839,Master Bedroom,8700,Master Bedroom-1,1800,Master Toilet,1600,Bedroom 2,1700,Bedroom 2-1,2800,,,,,,,,,,,,
ref1012,250416,Tropicana Grande,tropicana-grande,"Persiaran Tropicana, Tropicana, 47410 Petaling Jaya",3.131756,101.594484,Kitchen,1200,Kitchen,4100,Kitchen,1600,Entrance,800,Entrance-1,800,,,,,,,,,,,,
ref1013,140115,Pelangi Damansara,pelangi-damansara,"Persiaran Surian, Pelangi Damansara, 47800 Petaling Jaya",3.153845,101.604715,Master Bedroom,4200,,,,,,,,,,,,,,,,,,,,
ref1014,20215,Susana Lumayan,susana-lumayan,"Jalan Tasik Permaisuri 2, Bandar Tun Razak, 56000 Kuala Lumpur",3.0962,101.718107,Master Bedroom,3200,Maid,1300,,,,,,,,,,,,,,,,,,
ref1015,131016,Bistari,bistari-condominium,"Jalan Putra, Chow Kit, 50350 Kuala Lumpur",3.167838,101.693611,Master Bedroom,1300,Master Bedroom-1,3400,Bedroom 2,2700,Bedroom 3,2000,Master Toilet,1200,,,,,,,,,,,,
ref1016,300914M,Mont Kiara Pines,mont-kiara-pines,"Jalan Kiara 1, Mont Kiara, 50480 Kuala Lumpur,",3.166993,101.654422,Master Bedroom,3400,,,,,,,,,,,,,,,,,,,,
ref1017,060614-3,Bungaraya,bungaraya,"Persiaran Golf, Seksyen U2, 40150 Shah Alam",3.111661,101.572129,Kitchen Left,2400,Kitchen Right,2200,Kitchen Right,2900,Dinning GF,6200,Living Room,10500,Bedroom GF,1200,Bedroom 1,3100,Toilet GF,1200,Maid Room,3500,Stair,2200,Kids Room,4800
ref1018,180915-1,Kiara Park,kiara-park,"Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, 60000 Kuala Lumpur",3.155606,101.626377,,,,,,,,,,,,,,,,,,,,,,
ref1019,280815,Tiara Faber,tiara-faber,"456, Jalan Desa Utama, Taman Desa, 58100 Kuala Lumpur",3.108757,101.690282,Master Bedroom,3300,Living Room,5400,Bedroom 1,1800,Bedroom 2,2500,Kitchen,1900,,,,,,,,,,,,
ref1020,61114,Menara Bangsar,menara-bangsar,"299, Jalan Maarof, Bukit Bandaraya, 59000 Kuala Lumpur",3.142213,101.663915,Bedroom 1,2400,Bedroom 1-1,1500,,,,,,,,,,,,,,,,,,
ref1021,060615-1,D’Kiara Apartment,kiara-apartment,"Block C, Jalan Wawasan 4/12, Taman Wawasan, 47100 Puchong",3.029065,101.625352,Living Room,3800,Living Room 1,18000,Bedroom 1 ,3000,Bath 1&2,1300,Bedroom w/Balcony,1200,Kitchen,3400,,,,,,,,,,
ref1022,140115,Kelana-D’Putera,kelana-dputera,"Jalan SS 7/26, Ss 7, 47301 Petaling Jaya",3.108021,101.593326,Master Bedroom,4200,,,,,,,,,,,,,,,,,,,,
ref1023,40215,Le Chateau,le-chateu,"Lorong Syed Putra Kiri, Bukit Seputeh, 50460 Kuala Lumpur",3.121253,101.692144,Master Bedroom,2600,Living Room,14000,Master Toilet,600,,,,,,,,,,,,,,,,
ref1024,21214,Mutiara Villa,mutiara-villa,"28, Tengkat Tong Shin, Bukit Bintang, 50200 Kuala Lumpur",3.146158,101.707331,Bedroom 1,9500,Bedroom 2,8700,Living Room,15000,Living Toilet Door,2000,Toilet 1,2000,Kitchen,2000,Kitchen-1,3200,Toilet Door,2000,,,,,,
ref1025,QR10089,Ampang Putra Res.,ampang-putra-residence,"Jalan Ampang Putra, Taman Putra Sulaiman, 68000 Ampang",3.150779,101.750549,Master Bedroom,3800,,,,,,,,,,,,,,,,,,,,
ref1026,71113,Kiara 1888,kiara-1888,"Jalan Kiara 3, Kampung Segambut Dalam, 50480 Kuala Lumpur",3.17011,101.649446,Bathroom Door,2700,Dry Kitchen,1000,Wet Kitchen,2100,,,,,,,,,,,,,,,,
ref1027,270915,Flora Murni,flora-murni,"3, Jalan Kiara, Sunway Spk 3 Harmoni, 50480 Kuala Lumpur",3.166102,101.648834,Master Bedroom,10500,,,,,,,,,,,,,,,,,,,,
ref1028,Q34231,Armanee Terrace,armanee-terrace,"8, Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya",3.173275,101.604418,Bedroom 2,3100,Bedroom 3,1800,,,,,,,,,,,,,,,,,,
ref1029,170317,Hijau Saujana,hijau-saujana,"Lot 91, Off Persian Golf, Saujana, 40150 Shah Alam",3.103393,101.585791,Master Bedroom,3400,,,,,,,,,,,,,,,,,,,,
ref1030,160357,Sri Penaga,sri-penaga,"Bangsar Baru, 59100 Kuala Lumpur",3.142803,101.665604,Bedroom 2,2500,Bedroom 2,2400,,,,,,,,,,,,,,,,,,
