location,street,area,latitude,longitude,zoom,categories,pictures_large,pictures_small
"Shah Alam","5B-10-06 Bungaraya Condominium,","Saujana Resort,","3.111604","101.572141","15","Condo","/122/20160129_132949;/122/20160309_151233;/122/pa_1_(2);/122/pa_1_(5);/122/pa_1_(7);","/122/20160129_132949;/122/20160309_151233;/122/pa_1_(2);/122/pa_1_(5);/122/pa_1_(7);"
"Shah Alam	","Unit 7A-03-01, Bunga Raya Condo	","Saujana Resort	","3.110754","101.571488","15","Condo","/93/2014-09-29_16.03.50;/93/2014-10-15_14.32.59;/93/20140909_143829;/93/20140909_144152;/93/20140909_144201;","/93/2014-09-29_16.03.50;/93/2014-10-15_14.32.59;/93/20140909_143829;/93/20140909_144152;/93/20140909_144201;"
"Petaling Jaya	","Armanee Terrace Condominium / A12- C01	","Damansara Perdana	","3.172218","101.604115","15","Condo","/91/20141112_200148;/91/20141112_200217;/91/20141112_200355;","/91/20141112_200148;/91/20141112_200217;/91/20141112_200355;"
"Penang","Quayside Condominum","Tanjung Tokong","5.459541","100.310694","16","Condo","/52/3-1;/52/3-2;/52/3-3;/52/3-4;","/52/3-1;/52/3-2;/52/3-3;/52/3-4;"
"Mutiara Villa Condo ","28 jalan Tengkat Tung Shin","","3.146338","101.707983","15","Condo","/111/bkbnv-ug_uxomre1mfpw1pvtpevnlv7irotvssmxbe4;/111/eojts799wsb-wwge8x0rxf6bh1uveipl5vrdd4hyab0;/111/r2wtwa2hx63c0siqmjmnqty29cz6b_6rvgs3-uril-e;","/111/bkbnv-ug_uxomre1mfpw1pvtpevnlv7irotvssmxbe4;/111/eojts799wsb-wwge8x0rxf6bh1uveipl5vrdd4hyab0;/111/r2wtwa2hx63c0siqmjmnqty29cz6b_6rvgs3-uril-e;"
"Kuala Lumpur","No.11, Jalan Langgak Duta","12-1, Seri Duta 2 Condominium ","3.158332","101.672629","15","Condo","/131/lim_0;/131/lim_1;/131/lim_2;/131/lim_3;","/131/lim_0;/131/lim_1;/131/lim_2;/131/lim_3;"
"Kuala Lumpur","La Gande Kiara Condominium, ","Mont Kiara NR Solaris","3.174324","101.658301","15","Condo","/127/75b7819e-240f-4931-abc2-0b270a9314a3_(1);/127/d3afd1e8-76cc-4646-8bb4-d1fe3ea089ef;/127/59a129fe-a712-4000-b3f7-9c671cf685dd;/127/2dce62c3-cdb0-4725-b02d-c39f6a3cd1ed;/127/8d40cb3f-c631-4a4a-9f09-1fe3b4d694f3;/127/24adaa8f-4604-4423-bb56-4fffa3497875;","/127/75b7819e-240f-4931-abc2-0b270a9314a3_(1);/127/d3afd1e8-76cc-4646-8bb4-d1fe3ea089ef;/127/59a129fe-a712-4000-b3f7-9c671cf685dd;/127/2dce62c3-cdb0-4725-b02d-c39f6a3cd1ed;/127/8d40cb3f-c631-4a4a-9f09-1fe3b4d694f3;/127/24adaa8f-4604-4423-bb56-4fffa3497875;"
"Kuala Lumpur","Jalan SS 20/27 Damansara Intan","TTDI","3.1412","101.625199","1","Condo","/105/igfscfvpkdia-5udhgeq5fqkdv7tehreygk8y3cinf8;/105/ufp6a6xkda0vtx-qbxwtmvyr_uhebcfq2wrgix6on28;","/105/igfscfvpkdia-5udhgeq5fqkdv7tehreygk8y3cinf8;/105/ufp6a6xkda0vtx-qbxwtmvyr_uhebcfq2wrgix6on28;"
"Kuala Lumpur","Publica","Solaris Dutamas","3.17651","101.666536","15","Condo","/104/e2jaome_fpyvhkt75vwocbetnoxy5ftba86audxouuy;/104/gzisjgyekvewbws1ufzzwunuzfxaz1zk9aqmny8uqos;/104/xlc043ghb1i3tuuyisefbbbeemzwb4qm_ne-hfpod0w;/104/any0g048x1vwdwv2kzvryb3ijer33ci05oxdxs_nbbq;","/104/e2jaome_fpyvhkt75vwocbetnoxy5ftba86audxouuy;/104/gzisjgyekvewbws1ufzzwunuzfxaz1zk9aqmny8uqos;/104/xlc043ghb1i3tuuyisefbbbeemzwb4qm_ne-hfpod0w;/104/any0g048x1vwdwv2kzvryb3ijer33ci05oxdxs_nbbq;"
"Kuala Lumpur	","Villa Angsana Condo, Unit D-16-1, Block D	","No. 56, Jalan Krian	","3.192867","101.683801","15","Condo","/89/20140331_120627;","/89/20140331_120627;"
