location,street,area,latitude,longitude,zoom,categories,pictures_large,pictures_small
"Kuala Lumpur ","20 Jalan Awan Kerawang","Taman Yarl","3.067642","101.666024","15","Landed","/96/2015-04-21_15.48.11__large.jpg;/96/2015-04-21_15.37.50__large.jpg;/96/20141127_141107__large.jpg;/96/20141202_151014__large.jpg;/96/20141101_150343_android__large.jpg;/96/20141127_144251__large.jpg;/96/20141127_145109__large.jpg;/96/20150107_113151__large.jpg;/96/20141202_152831__large.jpg;/96/20151215_131157__large.jpg;/96/20151215_132226__large.jpg;/96/20151215_132920__large.jpg;/96/20151215_132933__large.jpg;/96/20151215_132947__large.jpg;/96/20151215_133005__large.jpg;","/96/2015-04-21_15.48.11;/96/2015-04-21_15.37.50;/96/20141127_141107;/96/20141202_151014;/96/20141101_150343_android;/96/20141127_144251;/96/20141127_145109;/96/20150107_113151;/96/20141202_152831;/96/20151215_131157;/96/20151215_132226;/96/20151215_132920;/96/20151215_132933;/96/20151215_132947;/96/20151215_133005;"
"Twin Palm ","Jln Palma 2/2F ","Sg Long","3.024908","101.811235","15","Landed","/109/7fsjnqhzv44mwf4wqn8iw7brz3o8cz3v0xo544r54nk,ursrswnwsjcfysevitzp3hokobjgsggm5ocpppzwsis__large.jpg;/109/htgi7k5ovh7nu9km9dbc5hw6vqoqr_vpexdu_xuj9c0__large.jpg;/109/iokoqrq7r_xemuhbhzpyxfrrp0pfxm1px6naaghq7pw__large.jpg;/109/m3csvic8rwb20mziihpmsqyzw-c0hxy21c8xpa71kno__large.jpg;/109/2015-04-13_12.52.20__large.jpg;/109/2015-08-25_09.29.50__large.jpg;/109/2015-08-25_09.29.57__large.jpg;/109/2015-08-25_09.30.02__large.jpg;","/109/7fsjnqhzv44mwf4wqn8iw7brz3o8cz3v0xo544r54nk,ursrswnwsjcfysevitzp3hokobjgsggm5ocpppzwsis;/109/htgi7k5ovh7nu9km9dbc5hw6vqoqr_vpexdu_xuj9c0;/109/iokoqrq7r_xemuhbhzpyxfrrp0pfxm1px6naaghq7pw;/109/m3csvic8rwb20mziihpmsqyzw-c0hxy21c8xpa71kno;/109/2015-04-13_12.52.20;/109/2015-08-25_09.29.50;/109/2015-08-25_09.29.57;/109/2015-08-25_09.30.02;"
"Sungai Besi","31, Jalan Tasik Damai","Reed Lakefields","3.058957","101.713668","15","Landed","/132/manz_0__large.jpg;/132/manz_0-1__large.jpg;/132/manz_2__large.jpg;/132/manz_3__large.jpg;","/132/manz_0;/132/manz_0-1;/132/manz_2;/132/manz_3;"
"Subang Jaya ","49, Jalan Putra Permai 10/4b ","Putra Heights ","2.983406","101.569881","15","Landed","/83/20140815_105423__large.jpg;/83/20140819_131107__large.jpg;/83/20140819_132251__large.jpg;/83/20140819_131103__large.jpg;","/83/20140815_105423;/83/20140819_131107;/83/20140819_132251;/83/20140819_131103;"
"Sri Kembangan ","Jalan 18/58 ","Taman Sri Serdang","3.012338","101.719783","15","Landed","",""
"Sri Hartamas","Jalan Sri Hartamas 2","Kuala Lumpur","3.155838","101.647030","15","Landed","/124/m0__large.jpg;/124/m1__large.jpg;/124/m2__large.jpg;/124/m4__large.jpg;/124/m6__large.jpg;/124/m7__large.jpg;/124/m8__large.jpg;","/124/m0;/124/m1;/124/m2;/124/m4;/124/m6;/124/m7;/124/m8;"
"Singapore","51 & 53 Jalan Tari Piring ","Seletar","1.399925","103.871679","15","Landed","/133/img_20170516_092732__large.jpg;/133/img_20170516_092657__large.jpg;/133/img_20170516_092950__large.jpg;/133/img_20170516_093006__large.jpg;/133/img_20170516_093853__large.jpg;/133/img_20170516_093911__large.jpg;/133/before__large.jpg;","/133/img_20170516_092732;/133/img_20170516_092657;/133/img_20170516_092950;/133/img_20170516_093006;/133/img_20170516_093853;/133/img_20170516_093911;/133/before;"
"Singapore","1A Bright Hill Crescent","Upper Thomson","1.356383","103.832365","15","Landed","/130/img_20161209_084024__large.jpg;/130/img_20161209_082612__large.jpg;/130/img_20161209_082659__large.jpg;/130/img_20161209_083853__large.jpg;/130/img_20161209_083907__large.jpg;/130/img_20161209_083957__large.jpg;/130/img_20161209_120358_(3)__large.jpg;/130/img_20161209_120428__large.jpg;/130/img_20161209_120537__large.jpg;/130/img_20161209_120605__large.jpg;/130/img_20161209_083846__large.jpg;/130/img_20161209_120729__large.jpg;/130/img_20161209_120755__large.jpg;/130/img_20161209_083949__large.jpg;/130/img_20161209_120534__large.jpg;/130/img_20161209_120631__large.jpg;","/130/img_20161209_084024;/130/img_20161209_082612;/130/img_20161209_082659;/130/img_20161209_083853;/130/img_20161209_083907;/130/img_20161209_083957;/130/img_20161209_120358_(3);/130/img_20161209_120428;/130/img_20161209_120537;/130/img_20161209_120605;/130/img_20161209_083846;/130/img_20161209_120729;/130/img_20161209_120755;/130/img_20161209_083949;/130/img_20161209_120534;/130/img_20161209_120631;"
"Singapore","135 Holland Road","","1.312618","103.798999","15","Landed","/126/wp_20160630_15_50_46_pro__large.jpg;/126/wp_20160630_15_53_04_pro__large.jpg;/126/wp_20160630_15_44_58_pro__large.jpg;/126/wp_20160630_15_45_26_pro__large.jpg;/126/wp_20160630_15_45_40_pro__large.jpg;/126/wp_20160630_15_50_24_pro__large.jpg;/126/wp_20160630_15_50_43_pro__large.jpg;/126/wp_20160630_15_53_01_pro__large.jpg;","/126/wp_20160630_15_50_46_pro;/126/wp_20160630_15_53_04_pro;/126/wp_20160630_15_44_58_pro;/126/wp_20160630_15_45_26_pro;/126/wp_20160630_15_45_40_pro;/126/wp_20160630_15_50_24_pro;/126/wp_20160630_15_50_43_pro;/126/wp_20160630_15_53_01_pro;"
"Singapore","15 Ripley Crescent","Serangoon Garden Estate","1.364179","103.871636","15","Landed","/121/20160223_094042__large.jpg;/121/20160223_093503__large.jpg;/121/20160223_092450__large.jpg;/121/20160223_092547__large.jpg;/121/20160223_092628__large.jpg;/121/20160223_092750_lls__large.jpg;/121/20160223_092808_lls__large.jpg;/121/20160223_092920__large.jpg;/121/20160223_092952__large.jpg;/121/20160223_093535__large.jpg;/121/20160223_093905__large.jpg;/121/20160223_093944__large.jpg;","/121/20160223_094042;/121/20160223_093503;/121/20160223_092450;/121/20160223_092547;/121/20160223_092628;/121/20160223_092750_lls;/121/20160223_092808_lls;/121/20160223_092920;/121/20160223_092952;/121/20160223_093535;/121/20160223_093905;/121/20160223_093944;"
"Singapore","27 Chuan Garden","Serangoon","1.363085","103.868321","15","Landed","/114/20150921_124413__large.jpg;/114/20150921_162100__large.jpg;/114/20150921_162510__large.jpg;/114/20150921_182012__large.jpg;/114/20151216_121934__large.jpg;/114/20151216_121952__large.jpg;/114/20151216_130003__large.jpg;/114/20151216_130029__large.jpg;/114/20151216_130034__large.jpg;","/114/20150921_124413;/114/20150921_162100;/114/20150921_162510;/114/20150921_182012;/114/20151216_121934;/114/20151216_121952;/114/20151216_130003;/114/20151216_130029;/114/20151216_130034;"
"Shah Alam ","No. 05, Jalan Jeriji U8/75 ","Bukit Jelutong ","3.124858","101.525690","15","Landed","/86/2014-10-08_14.14.55__large.jpg;/86/20140710_113747__large.jpg;/86/20140710_131005__large.jpg;/86/20140710_130954__large.jpg;/86/2014-09-30_18.24.26__large.jpg;/86/2014-09-30_18.24.33__large.jpg;/86/2014-09-30_18.27.16__large.jpg;/86/2014-09-30_18.27.55__large.jpg;/86/2014-09-30_19.09.08__large.jpg;/86/2014-09-30_19.09.13__large.jpg;/86/20140930_182413__large.jpg;","/86/2014-10-08_14.14.55;/86/20140710_113747;/86/20140710_131005;/86/20140710_130954;/86/2014-09-30_18.24.26;/86/2014-09-30_18.24.33;/86/2014-09-30_18.27.16;/86/2014-09-30_18.27.55;/86/2014-09-30_19.09.08;/86/2014-09-30_19.09.13;/86/20140930_182413;"
"Shah Alam ","35, USJ Heights 4/1B ","Subang Jaya","3.056711","101.560651","15","Landed","/77/marcus-_usj_height_(1)__large.jpg;/77/marcus-_usj_height_(2)__large.jpg;/77/marcus-_usj_height_(3)__large.jpg;/77/marcus-_usj_height_(4)__large.jpg;","/77/marcus-_usj_height_(1);/77/marcus-_usj_height_(2);/77/marcus-_usj_height_(3);/77/marcus-_usj_height_(4);"
"Shah Alam ","Jalan Teratak U8/95B","Seksyen U8 ","3.098686","101.542334","15","Landed","",""
"Puchong","No.16, Jalan Nusaputra 1/3C","Bandar Nusaputra","2.934823","101.615210","15","Landed","/50/1-0-2__large.jpg;/50/1-1-2__large.jpg;/50/img_20131114_120229__large.jpg;/50/img_20131114_120301__large.jpg;/50/img_20131114_121930__large.jpg;","/50/1-0-2;/50/1-1-2;/50/img_20131114_120229;/50/img_20131114_120301;/50/img_20131114_121930;"
"Petaling Jaya","23, Jalan SS 2/78","SS2","3.121439","101.623854","15","Landed","/117/ma_1__large.jpg;/117/2015-04-20_17.06.04__large.jpg;/117/2015-04-20_17.07.06__large.jpg;/117/2015-04-20_17.14.02__large.jpg;/117/2015-04-20_17.15.58__large.jpg;/117/2015-04-20_17.16.27__large.jpg;/117/2015-04-20_17.16.37__large.jpg;","/117/ma_1;/117/2015-04-20_17.06.04;/117/2015-04-20_17.07.06;/117/2015-04-20_17.14.02;/117/2015-04-20_17.15.58;/117/2015-04-20_17.16.27;/117/2015-04-20_17.16.37;"
